Task_id,Worker,Scheduled_time
0_M0,7000,3.0046472549438477
0_M1,7000,3.0049424171447754
0_M2,7001,3.005126953125
1_M0,7000,5.00864839553833
0_R0,7000,7.012515306472778
2_M0,7002,7.013692617416382
2_M1,7001,7.014472484588623
3_M0,7000,8.016223192214966
4_M0,7000,8.016487121582031
4_M1,7001,8.016716003417969
4_M2,7001,8.016957759857178
4_M3,7002,8.01719045639038
1_R0,7002,9.018732070922852
1_R1,7000,9.02040410041809
3_R0,7000,9.022511720657349
5_M0,7002,9.023508548736572
5_M1,7000,9.024158239364624
5_M2,7001,9.024858474731445
2_R0,7000,10.027256727218628
2_R1,7002,10.02830195426941
6_M0,7001,10.029271125793457
6_M1,7001,10.029951095581055
6_M2,7001,10.030533790588379
4_R0,7001,12.033496618270874
5_R0,7002,12.03417444229126
5_R1,7001,12.034449815750122
6_R0,7000,12.034724712371826
7_M0,7002,13.03548550605774
7_M1,7000,13.036421775817871
8_M0,7001,13.037131309509277
9_M0,7001,13.037704467773438
9_M1,7000,13.038257122039795
7_R0,7000,16.04160213470459
8_R0,7000,16.044068813323975
9_R0,7001,16.04497265815735
10_M0,7001,17.047224521636963
10_M1,7000,17.049405574798584
11_M0,7001,17.050116539001465
11_M1,7002,17.050722360610962
11_R0,7001,20.055527687072754
11_R1,7001,20.056638717651367
10_R0,7002,21.059198141098022
10_R1,7002,21.060827255249023
12_M0,7002,23.063246726989746
12_M1,7000,23.064205646514893
12_M2,7000,23.06489133834839
12_M3,7000,23.06550359725952
13_M0,7001,24.067060708999634
13_M1,7002,24.067649364471436
13_M2,7002,24.067989826202393
14_M0,7000,24.068297147750854
15_M0,7002,25.07002544403076
15_M1,7000,25.070938110351562
15_M2,7000,25.07162117958069
15_M3,7001,25.072375535964966
16_M0,7001,25.07299280166626
16_M1,7001,25.073571920394897
12_R0,7000,26.075280904769897
12_R1,7001,26.076085329055786
17_M0,7000,26.0768039226532
14_R0,7001,27.078699350357056
14_R1,7000,27.07995367050171
18_M0,7002,27.08081817626953
18_M1,7000,27.08145833015442
18_M2,7001,27.08212184906006
18_M3,7002,27.082738876342773
19_M0,7001,27.082923412322998
19_M1,7001,27.083101749420166
19_M2,7002,28.077659606933594
19_M3,7000,28.10411238670349
13_R0,7001,28.109499216079712
16_R0,7001,29.11104440689087
15_R0,7001,29.111968278884888
15_R1,7002,29.112788438796997
17_R0,7001,30.114548444747925
18_R0,7002,31.116894006729126
18_R1,7002,31.119140625
19_R0,7002,31.11983823776245
